iter	Logloss
0	0.6823555201
1	0.6710073117
2	0.6613682
3	0.6511766014
4	0.640328754
5	0.6310702353
6	0.6208798265
7	0.6118916581
8	0.602191694
9	0.593231628
10	0.582815283
11	0.5749240116
12	0.5678294255
13	0.5585541256
14	0.5489813579
15	0.5409133492
16	0.5321878666
17	0.5243131571
18	0.5160316505
19	0.5072460113
20	0.4995935939
21	0.4932070054
22	0.4858993526
23	0.4797192375
24	0.4730386428
25	0.4664411825
26	0.4596960376
27	0.4537415425
28	0.4485175856
29	0.4425890357
30	0.4373538474
31	0.4334097993
32	0.4288213058
33	0.424007726
34	0.4187174682
35	0.4154903854
36	0.4113970899
37	0.4072351423
38	0.4029961927
39	0.3989373278
40	0.3955689783
41	0.3909635535
42	0.3872226551
43	0.3837116401
44	0.3791253102
45	0.3749966014
46	0.3715617982
47	0.3687752181
48	0.3659804159
49	0.3631329265
50	0.3595145552
51	0.3570355245
52	0.3532774204
53	0.3504719235
54	0.3469431598
55	0.3444689829
56	0.3407840512
57	0.3378194436
58	0.3344688539
59	0.3316978412
60	0.3292743794
61	0.3265411707
62	0.3233012066
63	0.3207778472
64	0.3191081159
65	0.3176623955
66	0.3154646856
67	0.3129892768
68	0.3114635352
69	0.3088541129
70	0.3066066138
71	0.3046366219
72	0.302258517
73	0.3001997803
74	0.2979027893
75	0.296428623
76	0.2944058493
77	0.2931067104
78	0.2915192295
79	0.2897969404
80	0.2877091282
81	0.2864856908
82	0.2848922593
83	0.2836257573
84	0.2828034619
85	0.2814867782
86	0.2799463554
87	0.2786594708
88	0.2769952577
89	0.2751165179
90	0.2737418555
91	0.2725975615
92	0.2711482956
93	0.2703678675
94	0.2697128603
95	0.268335558
96	0.2672308612
97	0.2659198702
98	0.2647091629
99	0.2636441477
100	0.2623183451
101	0.2615435431
102	0.2601940109
103	0.2586676763
104	0.2570313967
105	0.2561151788
106	0.255179066
107	0.2541848641
108	0.2531549857
109	0.2523591588
110	0.2515876331
111	0.2509026216
112	0.2499783628
113	0.2489721607
114	0.2481662362
115	0.2471805874
116	0.2463011291
117	0.2452338131
118	0.2445478339
119	0.2435102073
120	0.2428251097
121	0.2419408121
122	0.2409656518
123	0.2405168275
124	0.239893475
125	0.2391286787
126	0.2383496399
127	0.2373884594
128	0.2367537514
129	0.2358688101
130	0.2349909272
131	0.2343475677
132	0.2335015252
133	0.2324610221
134	0.231761944
135	0.2311852736
136	0.2305148996
137	0.2297435875
138	0.2288235979
139	0.2283123725
140	0.2275740831
141	0.226957503
142	0.226128975
143	0.2250873314
144	0.2244370871
145	0.223820475
146	0.2233881218
147	0.2228135115
148	0.2223334023
149	0.2216464293
150	0.2209799589
151	0.2201901519
152	0.219615735
153	0.2190012728
154	0.2184626089
155	0.2178716943
156	0.2173601822
157	0.2166991674
158	0.2160697136
159	0.2157516795
160	0.2153292313
161	0.214735389
162	0.214218321
163	0.2135614439
164	0.2130363803
165	0.2124493298
166	0.2119744465
167	0.2112811076
168	0.2108209816
169	0.2102850449
170	0.2098534617
171	0.2093523483
172	0.209037217
173	0.2082543835
174	0.2078759558
175	0.2075610836
176	0.2072912068
177	0.2068851877
178	0.2063339662
179	0.2058033098
180	0.2053861874
181	0.2047838727
182	0.2043264508
183	0.2039062779
184	0.2035215081
185	0.203105128
186	0.2027355879
187	0.2022434256
188	0.2017835215
189	0.2015202358
190	0.2012976174
191	0.2010924406
192	0.2007325588
193	0.2003255213
194	0.1999437042
195	0.1996486207
196	0.1992445592
197	0.1986600904
198	0.1982392
199	0.1978926462
200	0.1975280334
201	0.1972488278
202	0.1969174237
203	0.196560528
204	0.1961673524
205	0.1957672941
206	0.1954295742
207	0.1951991011
208	0.194840318
209	0.1945590555
210	0.1942122927
211	0.1938183879
212	0.1935352607
213	0.1932942722
214	0.1930235749
215	0.1927832156
216	0.1925190143
217	0.1922535049
218	0.1918010562
219	0.1914474214
220	0.1911272949
221	0.1908599462
222	0.1905922059
223	0.1903327278
224	0.1901009425
225	0.1899399861
226	0.1895941636
227	0.1892747063
228	0.1890402892
229	0.1887046267
230	0.1883750996
231	0.187941182
232	0.187781694
233	0.1874310893
234	0.1871649313
235	0.1865815165
236	0.1861645376
237	0.1859206814
238	0.1855877581
239	0.1854006869
240	0.1853565773
241	0.1849973656
242	0.1846056177
243	0.1844427849
244	0.1841165042
245	0.1838175727
246	0.1835586966
247	0.1833567946
248	0.1830720233
249	0.1828177179
250	0.1826143621
251	0.1824266835
252	0.1821639986
253	0.1818394587
254	0.1814557842
255	0.1812113679
256	0.1809594499
257	0.1808253471
258	0.1806782659
259	0.1804843215
260	0.1801755986
261	0.1797383058
262	0.1796620809
263	0.1793950597
264	0.1792011464
265	0.1789694627
266	0.1786844385
267	0.1784627653
268	0.1782195016
269	0.1779443432
270	0.1775835015
271	0.1772563945
272	0.1770775703
273	0.1767733646
274	0.1766005262
275	0.1762688176
276	0.1761769746
277	0.1759542189
278	0.1756776544
279	0.1753567318
280	0.175186242
281	0.1749309823
282	0.1747258735
283	0.1745462325
284	0.1742839907
285	0.1740819878
286	0.1738557589
287	0.1736768134
288	0.1735118942
289	0.173260593
290	0.172963184
291	0.1727850102
292	0.1723876712
293	0.1721277421
294	0.171945425
295	0.1718396843
296	0.1716653597
297	0.1714147487
298	0.1711948011
299	0.1710402247
300	0.170876488
301	0.1706618447
302	0.17048866
303	0.1702014748
304	0.1699092145
305	0.1697129437
306	0.1695703405
307	0.1693127432
308	0.1691904146
309	0.1690138837
310	0.1687926249
311	0.1686177661
312	0.1684788118
313	0.168304638
314	0.1681886597
315	0.1680368704
316	0.1677830679
317	0.167519971
318	0.1674179114
319	0.1672898207
320	0.1671607306
321	0.1669971267
322	0.1668419339
323	0.1666739128
324	0.1665524557
325	0.1663531475
326	0.1660289001
327	0.165851038
328	0.1655964265
329	0.1653792931
330	0.1652429521
331	0.1649843967
332	0.1648467373
333	0.1647158612
334	0.1645589813
335	0.1642834922
336	0.1641239482
337	0.1640212393
338	0.1639255284
339	0.1637633521
340	0.1636116231
341	0.163364611
342	0.1632680218
343	0.1631663079
344	0.1630862325
345	0.1629621052
346	0.1627797434
347	0.1624382376
348	0.1622041991
349	0.1617908663
350	0.1615565313
351	0.1614342565
352	0.1613026335
353	0.1611083372
354	0.1608781491
355	0.1606137463
