iter	Passed	Remaining
729	1278	472
730	1280	471
731	1281	469
732	1283	467
733	1285	465
734	1287	464
735	1288	462
736	1291	460
737	1292	458
738	1294	457
739	1296	455
740	1297	453
741	1299	451
742	1301	450
743	1303	448
744	1304	446
745	1306	444
746	1308	443
747	1310	441
748	1312	439
749	1313	437
750	1315	436
751	1317	434
752	1319	432
753	1320	430
754	1322	429
755	1324	427
756	1325	425
757	1327	423
758	1329	422
759	1331	420
760	1332	418
761	1334	416
762	1336	415
763	1338	413
764	1339	411
765	1341	409
766	1343	408
767	1344	406
768	1346	404
769	1348	402
770	1350	401
771	1351	399
772	1353	397
773	1355	395
774	1357	393
775	1358	392
776	1360	390
777	1362	388
778	1364	387
779	1366	385
780	1367	383
781	1369	381
782	1371	380
783	1373	378
784	1375	376
785	1377	374
786	1378	373
787	1380	371
788	1382	369
789	1384	367
790	1386	366
791	1388	364
792	1389	362
793	1391	361
794	1393	359
795	1395	357
796	1396	355
797	1398	354
798	1400	352
799	1402	350
800	1404	348
801	1405	347
802	1407	345
803	1409	343
804	1411	341
805	1412	340
806	1414	338
807	1416	336
808	1418	334
809	1420	333
810	1421	331
811	1423	329
812	1425	327
813	1427	326
814	1428	324
815	1430	322
816	1432	320
817	1434	319
818	1435	317
819	1437	315
820	1439	313
821	1441	312
822	1443	310
823	1444	308
824	1446	306
825	1448	305
826	1450	303
827	1452	301
828	1454	299
829	1455	298
830	1457	296
831	1459	294
832	1461	293
833	1463	291
834	1465	289
835	1466	287
836	1468	286
837	1470	284
838	1472	282
839	1473	280
840	1475	278
841	1477	277
842	1479	275
843	1481	273
844	1483	272
845	1484	270
846	1486	268
847	1488	266
848	1490	265
849	1492	263
850	1493	261
851	1495	259
852	1497	258
853	1499	256
854	1501	254
855	1502	252
856	1504	251
857	1506	249
858	1508	247
859	1510	245
860	1512	244
861	1514	242
862	1515	240
863	1517	238
864	1519	237
865	1521	235
866	1522	233
867	1524	231
868	1526	230
869	1528	228
870	1530	226
871	1531	224
872	1532	222
873	1534	221
874	1536	219
875	1538	217
876	1540	216
877	1541	214
878	1543	212
879	1545	210
880	1547	208
881	1548	207
882	1550	205
883	1552	203
884	1553	201
885	1555	200
886	1557	198
887	1559	196
888	1560	194
889	1562	193
890	1564	191
891	1566	189
892	1568	187
893	1570	186
894	1571	184
895	1573	182
896	1575	180
897	1576	179
898	1578	177
899	1580	175
900	1582	173
901	1584	172
902	1586	170
903	1588	168
904	1589	166
905	1591	165
906	1593	163
907	1594	161
908	1596	159
909	1598	158
910	1599	156
911	1601	154
912	1603	152
913	1605	151
914	1606	149
915	1608	147
916	1610	145
917	1612	144
918	1613	142
919	1615	140
920	1617	138
921	1619	136
922	1620	135
923	1622	133
924	1624	131
925	1626	129
926	1627	128
927	1629	126
928	1631	124
929	1633	122
930	1634	121
931	1636	119
932	1638	117
933	1640	115
934	1641	114
935	1643	112
936	1645	110
937	1647	108
938	1649	107
939	1651	105
940	1652	103
941	1654	101
942	1656	100
943	1658	98
944	1659	96
945	1661	94
946	1663	93
947	1665	91
948	1667	89
949	1669	87
950	1671	86
951	1673	84
952	1674	82
953	1676	80
954	1678	79
955	1679	77
956	1681	75
957	1683	73
958	1685	72
959	1687	70
960	1688	68
961	1690	66
962	1692	65
963	1694	63
964	1695	61
965	1697	59
966	1699	58
967	1701	56
968	1703	54
969	1705	52
970	1707	50
971	1708	49
972	1710	47
973	1712	45
974	1714	43
975	1715	42
976	1717	40
977	1719	38
978	1721	36
979	1722	35
980	1724	33
981	1726	31
982	1727	29
983	1729	28
984	1731	26
985	1733	24
986	1735	22
987	1737	21
988	1738	19
989	1740	17
990	1742	15
991	1744	14
992	1746	12
993	1747	10
994	1749	8
995	1751	7
996	1753	5
997	1755	3
998	1757	1
999	1759	0
